Group,Subject,NLL,Alpha_Limbic,Decay,Loss_Aversion,Beta_PFC
Amphetamine,229.0,128.6169454429498,0.44883627761020284,0.6975449669990688,1.9256658685389025,0.10233487502274187
Control,206.3125,129.21968618385347,0.4746340080437677,0.6051692272932926,1.8891983367202372,0.13440735500583115
Heroin,207.41860465116278,127.85303042570072,0.5008674118865545,0.6544914892983809,1.2866718877067718,0.10913461251304377
